Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,W,L,cum_W,cum_L,WL_perc,Dd,DDD
1,"Thursday, Mar 30",boxscore,TEX,,PHI,W,11,7,,2000-01-01 00:00:00,1,Tied,Ragans,Soto,,03:04:00,D,38387,0.89,+,,1,0,1,0,100.0,"['Thursday', ' Mar 30']",Mar 30
2,"Saturday, Apr 1",boxscore,TEX,,PHI,W,16,3,,2000-02-01 00:00:00,1,up 0.5,Eovaldi,Wheeler,,03:10:00,D,31916,0.9,++,,1,0,2,0,100.0,"['Saturday', ' Apr 1']",Apr 1
3,"Sunday, Apr 2",boxscore,TEX,,PHI,W,2,1,,2000-03-01 00:00:00,1,up 1.0,Pérez,Falter,Smith,02:24:00,N,25823,0.93,+++,,1,0,3,0,100.0,"['Sunday', ' Apr 2']",Apr 2
4,"Monday, Apr 3",boxscore,TEX,,BAL,L,0,2,,2023-03-01 00:00:00,1,Tied,Coulombe,Gray,Bautista,02:18:00,N,15867,1.09,-,,0,1,3,1,75.0,"['Monday', ' Apr 3']",Apr 3
5,"Tuesday, Apr 4",boxscore,TEX,,BAL,L,2,7,,2023-03-02 00:00:00,1,Tied,Gibson,Heaney,,02:30:00,N,16268,1.01,--,,0,1,3,2,60.0,"['Tuesday', ' Apr 4']",Apr 4
6,"Wednesday, Apr 5",boxscore,TEX,,BAL,W,5,2,,2023-04-02 00:00:00,1,Tied,deGrom,Voth,Leclerc,02:19:00,D,18560,0.99,+,,1,0,4,2,66.66666666666666,"['Wednesday', ' Apr 5']",Apr 5
7,"Friday, Apr 7",boxscore,TEX,@,CHC,L,0,2,,2023-04-03 00:00:00,1,Tied,Stroman,Eovaldi,Fulmer,02:17:00,D,29094,0.95,-,,0,1,4,3,57.14285714285714,"['Friday', ' Apr 7']",Apr 7
8,"Saturday, Apr 8",boxscore,TEX,@,CHC,L,3,10,,2023-04-04 00:00:00,2,1,Steele,Pérez,,02:55:00,D,33578,0.96,--,,0,1,4,4,50.0,"['Saturday', ' Apr 8']",Apr 8
9,"Sunday, Apr 9",boxscore,TEX,@,CHC,W,8,2,,2023-05-04 00:00:00,1,Tied,Gray,Taillon,,02:31:00,D,28807,0.91,+,,1,0,5,4,55.55555555555556,"['Sunday', ' Apr 9']",Apr 9
10,"Monday, Apr 10",boxscore,TEX,,KCR,W,11,2,,2023-06-04 00:00:00,1,up 1.0,Heaney,Greinke,,02:30:00,N,17430,0.99,++,,1,0,6,4,60.0,"['Monday', ' Apr 10']",Apr 10
11,"Tuesday, Apr 11",boxscore,TEX,,KCR,W-wo,8,5,10.0,2023-07-04 00:00:00,1,up 1.0,Ragans,Barlow,,02:51:00,N,17760,1.05,+++,,0,1,6,5,54.54545454545454,"['Tuesday', ' Apr 11']",Apr 11
12,"Wednesday, Apr 12",boxscore,TEX,,KCR,L,1,10,,2023-07-05 00:00:00,1,Tied,Keller,Eovaldi,,02:24:00,N,18380,1.07,-,,0,1,6,6,50.0,"['Wednesday', ' Apr 12']",Apr 12
13,"Friday, Apr 14",boxscore,TEX,@,HOU,W,6,2,,2023-08-05 00:00:00,1,up 1.0,Pérez,Garcia,,02:46:00,N,39343,1.12,+,,1,0,7,6,53.84615384615385,"['Friday', ' Apr 14']",Apr 14
14,"Saturday, Apr 15",boxscore,TEX,@,HOU,L,2,8,,2023-08-06 00:00:00,1,up 1.0,Brown,Ragans,,02:35:00,N,39257,1.17,-,,0,1,7,7,50.0,"['Saturday', ' Apr 15']",Apr 15
15,"Sunday, Apr 16",boxscore,TEX,@,HOU,W,9,1,,2023-09-06 00:00:00,1,up 1.5,Burke,Valdez,,02:59:00,N,39122,1.09,+,,1,0,8,7,53.333333333333336,"['Sunday', ' Apr 16']",Apr 16
16,"Monday, Apr 17",boxscore,TEX,@,KCR,W,4,0,,2023-10-06 00:00:00,1,up 2.0,Dunning,Lyles,,02:02:00,N,11068,1.08,++,,1,0,9,7,56.25,"['Monday', ' Apr 17']",Apr 17
17,"Tuesday, Apr 18",boxscore,TEX,@,KCR,W,12,2,,2023-11-06 00:00:00,1,up 2.0,Eovaldi,Keller,,02:40:00,N,12118,1.11,+++,,1,0,10,7,58.82352941176471,"['Tuesday', ' Apr 18']",Apr 18
18,"Wednesday, Apr 19",boxscore,TEX,@,KCR,W,12,3,,2023-12-06 00:00:00,1,up 3.0,Pérez,Singer,,02:40:00,D,10388,1.13,++++,,1,0,11,7,61.111111111111114,"['Wednesday', ' Apr 19']",Apr 19
19,"Friday, Apr 21",boxscore,TEX,,OAK,L,4,5,,2023-12-07 00:00:00,1,up 2.5,Jackson,Smith,Familia,02:56:00,N,28775,1.17,-,,0,1,11,8,57.89473684210527,"['Friday', ' Apr 21']",Apr 21
20,"Saturday, Apr 22",boxscore,TEX,,OAK,W,18,3,,13-7,1,up 2.5,Heaney,Fujinami,,02:45:00,N,32388,1.11,+,,1,0,12,8,60.0,"['Saturday', ' Apr 22']",Apr 22
21,"Sunday, Apr 23",boxscore,TEX,,OAK,W,5,2,,14-7,1,up 2.5,deGrom,Muller,Smith,02:31:00,D,34916,1.17,++,,1,0,13,8,61.904761904761905,"['Sunday', ' Apr 23']",Apr 23
22,"Monday, Apr 24",boxscore,TEX,@,CIN,L-wo,6,7,,14-8,1,up 2.5,Díaz,Leclerc,,02:36:00,N,8810,1.14,-,,0,1,13,9,59.09090909090909,"['Monday', ' Apr 24']",Apr 24
23,"Tuesday, Apr 25",boxscore,TEX,@,CIN,L,6,7,,14-9,1,up 1.5,Sanmartin,Kennedy,Díaz,02:34:00,N,9969,1.15,--,,0,1,13,10,56.52173913043478,"['Tuesday', ' Apr 25']",Apr 25
24,"Wednesday, Apr 26",boxscore,TEX,@,CIN,L-wo,3,5,,14-10,1,up 0.5,Sims,Hernández,,02:34:00,D,10256,1.11,---,,0,1,13,11,54.166666666666664,"['Wednesday', ' Apr 26']",Apr 26
25,"Thursday, Apr 27",boxscore,TEX,,NYY,L,2,4,,14-11,1,Tied,Cole,Heaney,King,02:09:00,N,31325,1.15,----,,0,1,13,12,52.0,"['Thursday', ' Apr 27']",Apr 27
26,"Friday, Apr 28",boxscore,TEX,,NYY,W,5,2,,15-11,1,up 1.0,Dunning,Schmidt,Smith,02:20:00,N,36341,1.12,+,,1,0,14,12,53.84615384615385,"['Friday', ' Apr 28']",Apr 28
27,"Saturday, Apr 29",boxscore,TEX,,NYY,W,2,0,,16-11,1,up 2.0,Eovaldi,Brito,,02:06:00,N,40027,1.15,++,,1,0,15,12,55.55555555555556,"['Saturday', ' Apr 29']",Apr 29
28,"Sunday, Apr 30",boxscore,TEX,,NYY,W,15,2,,17-11,1,up 2.0,Pérez,Cortes,,02:30:00,D,39078,1.19,+++,,1,0,16,12,57.14285714285714,"['Sunday', ' Apr 30']",Apr 30
29,"Tuesday, May 2",boxscore,TEX,,ARI,W,6,4,,18-11,1,up 2.5,Burke,McGough,Smith,02:57:00,N,23086,1.11,++++,,1,0,17,12,58.620689655172406,"['Tuesday', ' May 2']",May 2
30,"Wednesday, May 3",boxscore,TEX,,ARI,L,7,12,,18-12,1,up 1.5,Mantiply,Sborz,,03:05:00,D,21427,1.17,-,,0,1,17,13,56.666666666666664,"['Wednesday', ' May 3']",May 3
31,"Friday, May 5",boxscore,TEX,@,LAA,L-wo,4,5,10.0,18-13,1,Tied,Estévez,Smith,,02:55:00,N,39073,1.35,--,,0,1,17,14,54.83870967741935,"['Friday', ' May 5']",May 5
32,"Saturday, May 6",boxscore,TEX,@,LAA,W,10,1,,19-13,1,up 1.0,Eovaldi,Detmers,,02:48:00,N,37409,1.38,+,,1,0,18,14,56.25,"['Saturday', ' May 6']",May 6
33,"Sunday, May 7",boxscore,TEX,@,LAA,W,16,8,,20-13,1,up 2.0,Sborz,Suarez,,03:06:00,D,41641,1.4,++,,1,0,19,14,57.57575757575758,"['Sunday', ' May 7']",May 7
34,"Monday, May 8",boxscore,TEX,@,SEA,W,2,1,,21-13,1,up 2.0,Gray,Gilbert,Smith,02:16:00,N,15282,1.38,+++,,1,0,20,14,58.82352941176471,"['Monday', ' May 8']",May 8
35,"Tuesday, May 9",boxscore,TEX,@,SEA,L,0,5,,21-14,1,up 2.0,Kirby,Heaney,,02:20:00,N,17638,1.35,-,,0,1,20,15,57.14285714285714,"['Tuesday', ' May 9']",May 9
36,"Wednesday, May 10",boxscore,TEX,@,SEA,W,4,3,,22-14,1,up 3.0,Dunning,Castillo,Smith,02:33:00,D,22480,1.4,+,,1,0,21,15,58.333333333333336,"['Wednesday', ' May 10']",May 10
37,"Thursday, May 11",boxscore,TEX,@,OAK,W,4,0,,23-14,1,up 3.5,Eovaldi,Medina,Smith,02:16:00,N,2949,1.24,++,,1,0,22,15,59.45945945945946,"['Thursday', ' May 11']",May 11
38,"Friday, May 12",boxscore,TEX,@,OAK,L-wo,7,9,10.0,23-15,1,up 2.5,Fujinami,Burke,,03:31:00,N,6575,1.19,-,,0,1,22,16,57.89473684210527,"['Friday', ' May 12']",May 12
39,"Saturday, May 13",boxscore,TEX,@,OAK,W,5,0,,24-15,1,up 3.5,Gray,Kaprielian,,02:18:00,D,8230,1.25,+,,1,0,23,16,58.97435897435898,"['Saturday', ' May 13']",May 13
40,"Sunday, May 14",boxscore,TEX,@,OAK,W,11,3,,25-15,1,up 4.0,Hernández,Pruitt,,02:46:00,D,7793,1.26,++,,1,0,24,16,60.0,"['Sunday', ' May 14']",May 14
41,"Monday, May 15",boxscore,TEX,,ATL,L,0,12,,25-16,1,up 3.0,Morton,Bradford,,02:31:00,N,26791,1.23,-,,0,1,24,17,58.536585365853654,"['Monday', ' May 15']",May 15
42,"Tuesday, May 16",boxscore,TEX,,ATL,W,7,4,,26-16,1,up 3.0,Dunning,Shuster,Smith,02:15:00,N,23246,1.22,+,,1,0,25,17,59.523809523809526,"['Tuesday', ' May 16']",May 16
43,"Wednesday, May 17",boxscore,TEX,,ATL,L,5,6,,26-17,1,up 2.0,Anderson,Burke,Iglesias,02:29:00,N,30035,1.23,-,,0,1,25,18,58.139534883720934,"['Wednesday', ' May 17']",May 17
44,"Friday, May 19",boxscore,TEX,,COL,W,7,2,,27-17,1,up 2.0,Pérez,Kauffmann,,02:23:00,N,30819,1.23,+,,1,0,26,18,59.09090909090909,"['Friday', ' May 19']",May 19
45,"Saturday, May 20",boxscore,TEX,,COL,W,11,5,,28-17,1,up 2.0,Gray,Freeland,,02:57:00,D,34443,1.25,++,,1,0,27,18,60.0,"['Saturday', ' May 20']",May 20
46,"Sunday, May 21",boxscore,TEX,,COL,W,13,3,,29-17,1,up 2.0,Heaney,Seabold,,02:50:00,D,32733,1.29,+++,,1,0,28,18,60.86956521739131,"['Sunday', ' May 21']",May 21
47,"Monday, May 22",boxscore,TEX,@,PIT,L,4,6,,29-18,1,up 1.0,Ortiz,Sborz,,02:29:00,N,10574,1.22,-,,0,1,28,19,59.57446808510638,"['Monday', ' May 22']",May 22
48,"Tuesday, May 23",boxscore,TEX,@,PIT,W,6,1,,30-18,1,up 2.0,Eovaldi,Hill,,02:13:00,N,12061,1.26,+,,1,0,29,19,60.416666666666664,"['Tuesday', ' May 23']",May 23
49,"Wednesday, May 24",boxscore,TEX,@,PIT,W,3,2,,31-18,1,up 3.0,Pérez,Oviedo,Smith,02:21:00,D,18347,1.28,++,,1,0,30,19,61.224489795918366,"['Wednesday', ' May 24']",May 24
50,"Friday, May 26",boxscore,TEX,@,BAL,W,12,2,,32-18,1,up 3.0,Gray,Rodriguez,,02:36:00,N,20293,1.34,+++,,1,0,31,19,62.0,"['Friday', ' May 26']",May 26
51,"Saturday, May 27",boxscore,TEX,@,BAL,W,5,3,,33-18,1,up 3.0,Heaney,Kremer,,02:28:00,D,37939,1.31,++++,,1,0,32,19,62.745098039215684,"['Saturday', ' May 27']",May 27
52,"Sunday, May 28",boxscore,TEX,@,BAL,L,2,3,,33-19,1,up 2.0,Coulombe,Ragans,Bautista,02:30:00,D,25124,1.29,-,,0,1,32,20,61.53846153846154,"['Sunday', ' May 28']",May 28
53,"Monday, May 29",boxscore,TEX,@,DET,W,5,0,,34-19,1,up 3.0,Eovaldi,Boyd,,02:35:00,D,19021,1.33,+,,1,0,33,20,62.264150943396224,"['Monday', ' May 29']",May 29
54,"Tuesday, May 30",boxscore,TEX,@,DET,W,10,6,,35-19,1,up 3.0,Anderson,Faedo,,02:41:00,N,14616,1.33,++,,1,0,34,20,62.96296296296296,"['Tuesday', ' May 30']",May 30
