RANK,STADIUM,HOME TEAM,CAPACITY,Tm
1,Oakland Coliseum,Oakland Athletics,56782,Oakland Athletics
2,Dodger Stadium,Los Angeles Dodgers,56000,Los Angeles Dodgers
3,Coors Field,Colorado Rockies,50144,Colorado Rockies
4,Rogers Centre,Toronto Blue Jays,49282,Toronto Blue Jays
5,Chase Field,Arizona Diamondbacks,48405,Arizona Diamondbacks
6,T-Mobile Park,Seattle Mariners,47929,Seattle Mariners
7,Yankee Stadium,New York Yankees,46537,New York Yankees
8,Oriole Park at Camden Yards,Baltimore Orioles,45971,Baltimore Orioles
9,Angel Stadium,Los Angeles Angels,45517,Los Angeles Angels
10,Busch Stadium,St. Louis Cardinals,45494,St. Louis Cardinals
11,Citizens Bank Park,Philadelphia Phillies,42792,Philadelphia Phillies
12,Tropicana Field,Tampa Bay Rays,42735,Tampa Bay Rays
13,Great American Ball Park,Cincinnati Reds,42319,Cincinnati Reds
14,Citi Field,New York Mets,41922,New York Mets
15,Oracle Park,San Francisco Giants,41915,San Francisco Giants
16,American Family Field,Milwaukee Brewers,41900,Milwaukee Brewers
17,Wrigley Field,Chicago Cubs,41649,Chicago Cubs
18,Nationals Park,Washington Nationals,41339,Washington Nationals
19,Minute Maid Park,Houston Astros,41168,Houston Astros
20,Truist Park,Atlanta Braves,41084,Atlanta Braves
21,Comerica Park,Detroit Tigers,41083,Detroit Tigers
22,Guaranteed Rate Field,Chicago White Sox,40615,Chicago White Sox
23,Globe Life Field,Texas Rangers,40300,Texas Rangers
24,Petco Park,San Diego Padres,40209,San Diego Padres
25,PNC Park,Pittsburgh Pirates,38747,Pittsburgh Pirates
26,Target Field,Minnesota Twins,38544,Minnesota Twins
27,Kauffman Stadium,Kansas City Royals,37903,Kansas City Royals
28,Fenway Park,Boston Red Sox,37755,Boston Red Sox
29,LoanDepot Park,Miami Marlins,37442,Miami Marlins
30,Progressive Field,Cleveland Guardians,34830,Cleveland Guardians
