Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,Division,League
1,"Thursday, Mar 30",boxscore,BAL,@,BOS,W,10,9,,1-0,1,Tied,Gibson,Kluber,Bautista,3:10,D,36049,1.01,+,,AL East,AL
2,"Saturday, Apr 1",boxscore,BAL,@,BOS,L-wo,8,9,,1-1,2,1.0,Jansen,Bautista,,3:04,D,29062,1.03,-,,AL East,AL
3,"Sunday, Apr 2",boxscore,BAL,@,BOS,L,5,9,,1-2,4,2.0,Houck,Irvin,,2:44,D,27886,1.00,--,,AL East,AL
4,"Monday, Apr 3",boxscore,BAL,@,TEX,W,2,0,,2-2,3,2.0,Coulombe,Gray,Bautista,2:18,N,15867,.91,+,,AL East,AL
5,"Tuesday, Apr 4",boxscore,BAL,@,TEX,W,7,2,,3-2,2,2.0,Gibson,Heaney,,2:30,N,16268,.93,++,,AL East,AL
6,"Wednesday, Apr 5",boxscore,BAL,@,TEX,L,2,5,,3-3,3,3.0,deGrom,Voth,Leclerc,2:19,D,18560,1.01,-,,AL East,AL
7,"Friday, Apr 7",boxscore,BAL,,NYY,W,7,6,,4-3,3,3.0,Pérez,Marinaccio,Bautista,3:04,D,45017,.99,+,,AL East,AL
8,"Saturday, Apr 8",boxscore,BAL,,NYY,L,1,4,,4-4,4,4.0,Brito,Irvin,Holmes,2:47,N,30561,1.05,-,,AL East,AL
9,"Sunday, Apr 9",boxscore,BAL,,NYY,L,3,5,,4-5,5,5.0,Cortes,Wells,Holmes,2:28,D,29221,.96,--,,AL East,AL
10,"Monday, Apr 10",boxscore,BAL,,OAK,W,5,1,,5-5,4,5.0,Gibson,Sears,,2:48,N,9322,.84,+,,AL East,AL
11,"Tuesday, Apr 11",boxscore,BAL,,OAK,W,12,8,,6-5,4,5.0,Baker,Moll,,3:08,N,12305,.89,++,,AL East,AL
12,"Wednesday, Apr 12",boxscore,BAL,,OAK,L,4,8,,6-6,4,6.0,Smith,Akin,,2:50,N,10181,.90,-,,AL East,AL
13,"Thursday, Apr 13",boxscore,BAL,,OAK,W-wo,8,7,,7-6,4,6.0,Bautista,May,,2:58,D,11665,.87,+,,AL East,AL
14,"Friday, Apr 14",boxscore,BAL,@,CHW,W,6,3,,8-6,3,5.0,Baumann,López,Bautista,2:58,N,18941,.91,++,,AL East,AL
15,"Saturday, Apr 15",boxscore,BAL,@,CHW,L-wo,6,7,10,8-7,4,5.0,Lambert,Gillaspie,,3:21,D,32091,.97,-,,AL East,AL
16,"Sunday, Apr 16",boxscore,BAL,@,CHW,W,8,4,,9-7,4,5.0,Baumann,Bummer,,2:46,D,13794,.93,+,,AL East,AL
17,"Tuesday, Apr 18",boxscore,BAL,@,WSN,W,1,0,,10-7,3,4.5,Kremer,Gray,Bautista,2:34,N,18747,.91,++,,AL East,AL
18,"Wednesday, Apr 19",boxscore,BAL,@,WSN,W,4,0,,11-7,2,4.5,Bradish,Gore,,2:26,N,22598,.93,+++,,AL East,AL
19,"Friday, Apr 21",boxscore,BAL,,DET,W-wo,2,1,,12-7,2,4.5,Bautista,Foley,,2:25,N,18772,1.03,++++,,AL East,AL
20,"Saturday, Apr 22",boxscore,BAL,,DET,W,5,1,,13-7,2,4.5,Gibson,Wentz,,2:15,N,12194,1.03,+++++,,AL East,AL
21,"Sunday, Apr 23",boxscore,BAL,,DET,W-wo,2,1,10,14-7,2,4.5,Akin,Englert,,2:44,D,36975,1.05,++++++,,AL East,AL
22,"Monday, Apr 24",boxscore,BAL,,BOS,W,5,4,,15-7,2,4.5,Kremer,Sale,Cano,2:29,N,11811,1.12,+++++++,,AL East,AL
23,"Tuesday, Apr 25",boxscore,BAL,,BOS,L,6,8,,15-8,2,4.5,Kluber,Bradish,Jansen,2:44,N,14343,1.11,-,,AL East,AL
24,"Wednesday, Apr 26",boxscore,BAL,,BOS,W,6,2,,16-8,2,3.5,Wells,Houck,,2:37,D,12044,1.13,+,,AL East,AL
25,"Thursday, Apr 27",boxscore,BAL,@,DET,W,7,4,,17-8,2,3.5,Baker,Shreve,Bautista,3:16,N,11599,1.12,++,,AL East,AL
26,"Saturday, Apr 29 (1)",boxscore,BAL,@,DET,L,4,7,,17-9,2,4.5,Rodriguez,Kremer,Lange,2:41,D,17974,1.11,-,,AL East,AL
27,"Saturday, Apr 29 (2)",boxscore,BAL,@,DET,W,6,4,,18-9,2,4.5,Rodriguez,Boyd,Bautista,2:41,N,11048,1.06,+,,AL East,AL
28,"Sunday, Apr 30",boxscore,BAL,@,DET,W,5,3,,19-9,2,3.5,Voth,Turnbull,Cano,2:46,D,13626,1.05,++,,AL East,AL
29,"Tuesday, May 2",boxscore,BAL,@,KCR,W,11,7,,20-9,2,3.5,Wells,Yarbrough,,3:04,N,10487,1.06,+++,,AL East,AL
30,"Wednesday, May 3",boxscore,BAL,@,KCR,L,0,6,,20-10,2,4.5,Greinke,Gibson,,1:59,N,10362,1.08,-,,AL East,AL
31,"Thursday, May 4",boxscore,BAL,@,KCR,W,13,10,,21-10,2,4.5,Cano,Chapman,,3:24,D,11514,1.05,+,,AL East,AL
